prologue	Prologue: The Outlander Who Caught the Wind	Act I	The Outlander Who Caught the Wind
prologue	Prologue: The Outlander Who Caught the Wind	Act II	For a Tomorrow Without Tears
prologue	Prologue: The Outlander Who Caught the Wind	Act III	Song of the Dragon and Freedom
ch1	Chapter I: Farewell, Archaic Lord	Act I	Of the Land Amidst Monoliths
ch1	Chapter I: Farewell, Archaic Lord	Act II	Farewell, Archaic Lord
ch1	Chapter I: Farewell, Archaic Lord	Act III	A New Star Approaches
ch1	Chapter I: Farewell, Archaic Lord	Act IV - Prelude	Bough Keeper: Dainsleif
ch1	Chapter I: Farewell, Archaic Lord	Act IV	We Will Be Reunited
ch2	Chapter II: Omnipresence Over Mortals	Prologue	Autumn Winds, Scarlet Leaves
ch2	Chapter II: Omnipresence Over Mortals	Act I	The Immovable God and the Eternal Euthymia
ch2	Chapter II: Omnipresence Over Mortals	Act II	Stillness, the Sublimation of Shadow
ch2	Chapter II: Omnipresence Over Mortals	Act III	Omnipresence Over Mortals
ch2	Chapter II: Omnipresence Over Mortals	Act IV	Requiem of the Echoing Depths
ch3	Chapter III: Truth Amongst the Pages of Purana	Act I	Through Mists of Smoke and Forests Dark
ch3	Chapter III: Truth Amongst the Pages of Purana	Act II	The Morn a Thousand Roses Brings
ch3	Chapter III: Truth Amongst the Pages of Purana	Act III	Dreams, Emptiness, Deception
ch3	Chapter III: Truth Amongst the Pages of Purana	Act IV	King Deshret and the Three Magi
ch3	Chapter III: Truth Amongst the Pages of Purana	Act V	Akasha Pulses, the Kalpa Flame Rises
ch3	Chapter III: Truth Amongst the Pages of Purana	Act VI	Caribert
ch4	Chapter IV: Masquerade of the Guilty	Act I	Prelude of Blancheur and Noirceur
ch4	Chapter IV: Masquerade of the Guilty	Act II	As Light Rain Falls Without Reason
ch4	Chapter IV: Masquerade of the Guilty	Act III	To the Stars Shining in the Depths
ch4	Chapter IV: Masquerade of the Guilty	Act IV	Cataclysm's Quickening
ch4	Chapter IV: Masquerade of the Guilty	Act V	Masquerade of the Guilty
ch4	Chapter IV: Masquerade of the Guilty	Act VI	Bedtime Story
ch5	Chapter V: Incandescent Ode of Resurrection	Act I	Flowers Resplendent on the Sun-Scorched Sojourn
ch5	Chapter V: Incandescent Ode of Resurrection	Act II	Black Stone Under a White Stone
ch5	Chapter V: Incandescent Ode of Resurrection	Act III	Beyond the Smoke and Mirrors
ch5	Chapter V: Incandescent Ode of Resurrection	Act IV	The Rainbow Destined to Burn
ch5	Chapter V: Incandescent Ode of Resurrection	Interlude	All Fires Fuel the Flame
ch5	Chapter V: Incandescent Ode of Resurrection	Act V	Incandescent Ode of Resurrection
ch5	Chapter V: Incandescent Ode of Resurrection	Act VI	A Space and Time for You
sotwm	Song of the Welkin Moon	Prelude	The Journey Home
sotwm	Song of the Welkin Moon	Act I	A Dance of Snowy Tides and Hoarfrost Groves
sotwm	Song of the Welkin Moon	Act II	Elegy of Dust and Lamplight
sotwm	Song of the Welkin Moon	Act III	A Nation That Doesn't Exist
sotwm	Song of the Welkin Moon	Act IV	An Elegy for Faded Moonlight
sotwm	Song of the Welkin Moon	Act V	A Nocturne of the Far North
sotwm	Song of the Welkin Moon	Act VI	Melting Moonlight in the Morning Mist
sotwm	Song of the Welkin Moon	Act VII	A Traveler on a Winter's Night
sotwm	Song of the Welkin Moon	Act VIII	True Moon
sotwm	Song of the Welkin Moon	Act IX	As All Falls to Emptiness
sotwm	Song of the Welkin Moon	Act X	Truth Amongst the Pages of Purana
ch7	Chapter VII: Everwinter Without Mercy	Act I	Everwinter Without Mercy
ch7	Chapter VII: Everwinter Without Mercy	Act II	Wraith's Nocturne
