v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 1	Double Pendulum Simulation	GFL2 Story/Summary#Chapter_1
v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 2	Second Signal	GFL2 Story/Summary#Chapter_2
v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 3	Lacuna Rectification	GFL2 Story/Summary#Chapter_3
v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 4	Reverse Matrix	GFL2 Story/Summary#Chapter_4
v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 5	Heterodyne Resonance	GFL2 Story/Summary#Chapter_5
v1	Volume 1: Double Pendulum Simulation to Harmonic Cycle	Chapter 6	Harmonic Cycle	GFL2 Story/Summary#Chapter_6
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 6.5	Sojourners of the Glass Island - Part 1	GFL2 Story/Summary#Chapter_6.5_(Sojourners_of_the_Glass_Island_-_Part_1)
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 6.7	Sojourners of the Glass Island - Part 2	GFL2 Story/Summary#Chapter_6.7_(Sojourners_of_the_Glass_Island_-_Part_2)
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 7	Radiation Decay	GFL2 Story/Summary#Chapter_7
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 8	Aliasing Effect	GFL2 Story/Summary#Chapter_8
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 8.3	Amidst Wings of Gray	GFL2 Story/Summary#Chapter_8.3_(Amidst_Wings_of_Gray)
v2	Volume 2: Sojourners of the Glass Island to Bitter Thorns and Daisies	Chapter 8.7	Bitter Thorns and Daisies	GFL2 Story/Summary#Chapter_8.7_(Bitter_Thorns_and_Daisies)
v3	Volume 3: Aphelion to Intertwined Assault	Chapter 9	Aphelion - Part 1	GFL2 Story/Summary#Chapter_9_(Aphelion_-_Part_1)
v3	Volume 3: Aphelion to Intertwined Assault	Chapter 10	Aphelion - Part 2	GFL2 Story/Summary#Chapter_10_(Aphelion_-_Part_2)
v3	Volume 3: Aphelion to Intertwined Assault	Chapter 11	Deep Oblivion - Part 1	GFL2 Story/Summary#Chapter_11_(Deep_Oblivion_-_Part_1)
v3	Volume 3: Aphelion to Intertwined Assault	Chapter 12	Deep Oblivion - Part 2	GFL2 Story/Summary#Chapter_12_(Deep_Oblivion_-_Part_2)
v3	Volume 3: Aphelion to Intertwined Assault	Chapter 12.5	Intertwined Assault	GFL2 Story/Summary#Chapter_12.5_(Intertwined_Assault)
v4	Volume 4: Corposant to Antiparallel	Chapter 13	Corposant - Part 1	GFL2 Story/Summary#Chapter_13_(Corposant_-_Part_1)
v4	Volume 4: Corposant to Antiparallel	Chapter 14	Corposant - Part 1.5	GFL2 Story/Summary#Chapter_14_(Corposant_-_Part_1.5)
v4	Volume 4: Corposant to Antiparallel	Chapter 15	Corposant - Part 2	GFL2 Story/Summary#Chapter_15_(Corposant_-_Part_2)
v4	Volume 4: Corposant to Antiparallel	Chapter 16	Antiparallel - Part 1	GFL2 Story/Summary#Chapter_16_(Antiparallel_-_Part_1)
v4	Volume 4: Corposant to Antiparallel	Chapter 17	Antiparallel - Part 2	GFL2 Story/Summary#Chapter_17_(Antiparallel_-_Part_2)
v5	Volume 5: Dawnforger to Needy Catgirl Overload	Chapter 18	Dawnforger - Part 1	GFL2 Story/Summary#Chapter_18_(Dawnforger_-_Part_1)
v5	Volume 5: Dawnforger to Needy Catgirl Overload	Chapter 19	Dawnforger - Part 2	GFL2 Story/Summary#Chapter_19_(Dawnforger_-_Part_2)
v5	Volume 5: Dawnforger to Needy Catgirl Overload	Chapter 20	Needy Catgirl Overload	GFL2 Story/Summary#Chapter_20_-_Needy_Catgirl_Overload
