wdb	Part 1: Where Dreams Began	Chapter I	Dusk, Girls, Battleship	Chapter I
wdb	Part 1: Where Dreams Began	Chapter II	Voice in the Dreams	Chapter II
teod	Part 1: The End of Destiny	Chapter III	Poem of the Wind	Chapter III
teod	Part 1: The End of Destiny	Chapter IV	Betrayal Has a Silvery Smile	Chapter IV
teod	Part 1: The End of Destiny	Chapter V	Tundra Reunion	Chapter V
teod	Part 1: The End of Destiny	Chapter VI	Babylon's Prisoner	Chapter VI
utfs	Part 1: Under the Falling Sky	Chapter VII	Lift the Sword of Rebellion	Chapter VII
utfs	Part 1: Under the Falling Sky	Chapter VIII	Will of the Herrscher	Chapter VIII
utfs	Part 1: Under the Falling Sky	Chapter IX	Journey for Tomorrow	Chapter IX
utfs	Part 1: Under the Falling Sky	Chapter IX - EX-1	Arc Stalker	Chapter IX — EX-1
utfs	Part 1: Under the Falling Sky	Chapter IX - EX-2	Dark Serpent	Chapter IX — EX-2
ftdo	Part 1: From the Deep Ocean	Chapter X	Under The Deep	Chapter X
ftdo	Part 1: From the Deep Ocean	Chapter XI	Deep End of the Sea	Chapter XI
ftdo	Part 1: From the Deep Ocean	Chapter XI - EX	Void Heavens & Diane's Sojourn	Chapter XI — EX
ftdo	Part 1: From the Deep Ocean	Chapter XII	Plain of Vigrid	Chapter XII
shooting_star	Part 1: A Shooting Star Streaking Across the Night	Chapter XIII	ARC Nocturne	Chapter XIII
shooting_star	Part 1: A Shooting Star Streaking Across the Night	Chapter XIV	Dispel the Darkness	Chapter XIV
ety	Part 1: Elegy to Yesterday	Chapter XV	The Prodigal Girl Returns	Chapter XV
ety	Part 1: Elegy to Yesterday	Chapter XVI	Imminent Storm	Chapter XVI
ety	Part 1: Elegy to Yesterday	Chapter XVII	Thunders Over Nagazora	Chapter XVII
hlb	Part 1: Here Lies Bellflower	Chapter XVIII	From Beds of Everlasting Snow	Chapter XVIII
hlb	Part 1: Here Lies Bellflower	Chapter XIX	Into Earth Does the Water Flow	Chapter XIX
