7140	Honkai Impact 3 (SEA) - Chapter XVII : Thunders Over Nagazora Story Mode Full Clear Gameplay	Ryanto F2P	https://www.youtube.com/watch?v=hu3kFeL2qZw	111
2254	HI3 Chapter XVII: Thunders Over Nagazora (Act 1)	愛野雪（Aino Yuki）	https://www.youtube.com/watch?v=N2ZmWi3nRN4	295
1501	Chapter XVII | Thunders over Nagazora | Part #1 | Honkai Impact 3rd	Cordis Die 98	https://www.youtube.com/watch?v=JD6nFDgx2kU	170
2177	Chapter XVII/17 Act 1 | Honkai Impact 3rd	Jstorm	https://www.youtube.com/watch?v=jb8k63qSJds	22
3958	Honkai Impact 3rd  - Chapter 17: Thunders Over Nagazora Part 1	Detarame Gaming	https://www.youtube.com/watch?v=j6L-zX-lPjg	4
1155	[Honkai Impact 3rd] Story Chapter XVII - Thunders Over Nagazora : Lament of the Fallen	Aldi Rief	https://www.youtube.com/watch?v=frfHhta9iJw	169
7762	Honkai Impact 3 - Chapter 17: Thunders over Nagazora [Story]	Night.K	https://www.youtube.com/watch?v=CXR7vIR_HVs	17303
8007	Honkai Impact 3rd Chapter 17 Thunders Over Nagazora Full CG, JP dub	Maddoctor	https://www.youtube.com/watch?v=D9UuOpsqI70	11467
7748	[CN Dub] Chapter 17: Thunders Over Nagazora - Honkai Impact 3 SEA	Hide's Honkai Archive	https://www.youtube.com/watch?v=vHHHmqK6UOY	770
8881	Honkai Impact 3rd - Part 1 Chapter 17: Thunders Over Nagazora	The Honkaipedia	https://www.youtube.com/watch?v=9s601j5FL7g	129
1781	Honkai Impact 3rd: Thunders Over Nagazora Chapter 17 Part 1 [ANDROID/IOS/PC]	Anime Xpress	https://www.youtube.com/watch?v=SBHpAk_Wrvs	192
7332	Honkai Impact 3rd | Chapter XVII: Thunders Over Nagazora	art-serious	https://www.youtube.com/watch?v=kV2WB_Rf6i8	2045
9408	Thunders Over Nagazora - Chapter 17. Honkai Impact 3rd Main Story	Captain Ainsophia	https://www.youtube.com/watch?v=dBFS1zS59bI	174
1074	[STORY CHAPTER 17] 17-11 and 17-12 Honkai Impact 3rd Story Gameplay	XoXo PD	https://www.youtube.com/watch?v=dzEh72Rixg8	339
1126	Honkai Impact 3rd Chapter XVII Stage 17-12 [Thunders Over Nagazora] [Act.3]	E S T 3 T I G A	https://www.youtube.com/watch?v=g3EZMrMnVms	594
2313	[Honkai Impact 3rd] Story Chapter 17 "Thunders Over Nagazora" (with gameplay) part 3	Shinrin Games	https://www.youtube.com/watch?v=l20f6DhsOA8	4458
3507	Honkai Impact 3 Walkthrough Chapter 17	Vergen	https://www.youtube.com/watch?v=CwolNGFU024	67
2074	HI3 4.0 Chapter 17 P3	Moeka Chan	https://www.youtube.com/watch?v=kuBhedbDgNY	208
2263	This is so heartbreaking! | Honkai Impact 3rd (SEA) Chapter 17: Act 1	Markie Gamie	https://www.youtube.com/watch?v=J2X2sy8WlS4	138
2275	HI3 4.0 Chapter 17 P1	Moeka Chan	https://www.youtube.com/watch?v=iFt6VP6bWIw	57
1677	Honkai Impact chap 17 Act 3 Full + Battle	Shadow Storm	https://www.youtube.com/watch?v=Me5dEgtK_Sk	59
712	MEI JOIN SERPENT? STORY CHAPTER 17 ACT 2 | HONKAI IMPACT CHINA (崩坏3)	Whize Ngopskuy	https://www.youtube.com/watch?v=zw7bOvs-4g8	4547
1684	HI3 - Chapter XVII: Thunders Over Nagazora (Act 2)	愛野雪（Aino Yuki）	https://www.youtube.com/watch?v=SpJsV7cWtNY	182
2793	HI3 - Chapter XVII: Thunders Over Nagazora (Act 3)	愛野雪（Aino Yuki）	https://www.youtube.com/watch?v=sBt4aSNdTMQ	662
9167	Honkai Impact 3rd - Part 020: Thunders Over Nagazora	Ideasthete	https://www.youtube.com/watch?v=tgbi9m_R6Kc	11
2957	Honkai Impact 3rd STORY PLAYTHOUGH NO COMMENTARY CH 17 3/3 - Thunders Over Nagazora	Zeirt Plays Games	https://www.youtube.com/watch?v=_PF8w_AU6DM	73
