v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 1	Graffiti Art	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 2	Torturos Journey	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 3	Final Exhibition	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 4	Forgotten Golden Sand	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 5	Shattered Phantom	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 6	Contaminated Alloy	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 7	Inverse Element Collapse	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 8	Consumed by Darkness	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 9	Fallen Star	Main Story
v1	Volume 1: Graffiti Art to Eternal Engine	Chapter 10	Eternal Engine	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 11	Nona Ouroboros	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 12	Kowloong Metropolis	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 13	Fake Ascension	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 14	Imprisoned Sight	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 15	The Last Spark	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 16	Evernight Beat	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 17	The Surviving Lucem	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 18	Her Last Bow	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 19	A New Divide	Main Story
v2	Volume 2: Nona Ouroboros to Across The Ruined Sea	Chapter 20	Across The Ruined Sea	Main Story
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 21	Spiral of Chronos	Spiral of Chronos
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 22	Renaissance du Fantastique	Renaissance du Fantastique
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 23	Wintry Shackles	Wintry Shackles
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 24	Chaos Unsnarled	Chaos Unsnarled
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 25	Everglowing Justice	Everglowing Justice
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 26	Cradle Parade	Cradle Parade
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 27	Aeon Reforged	Aeon Reforged
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 28	Polaris Bond	Polaris Bond
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 29	Source Beacon	Stars Ensnared
v3	Volume 3: Spiral of Chronos to Stars Ensnared	Chapter 30	Stars Ensnared	Stars Ensnared
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 31	Shaper's Ripples	Shaper's Ripples
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 32	To the Galaxies	Shaper's Ripples
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 33	Wither to Shine	Wither to Shine
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 34	Dream till the Timeless End	Dream till the Timeless End
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 35	Echoes Adrift	Through the Tide Home
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 36	Dreams Rewound	Through the Tide Home
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 37	Where Nightmares Dwell	Where Nightmares Dwell
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 38	Sightline Breach	Sightline Breach
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 39	Withering Crown	Withering Crown
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 40	A Better Tomorrow	A Better Tomorrow
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 41	Homecoming Voyage	Homecoming Voyage
v4	Volume 4: Shaper's Ripples to Steering By Light	Chapter 42	Steering By Light	Steering By Light
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-00	Frozen Darkness	Frozen Darkness
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-01	Grand Blue	Grand Blue
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-02	Firn Night	Firn Night
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-03	Lost Chapter	Lost Chapter
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-04	Echo Aria	Echo Aria
vex	Volume EX: Frozen Darkness to Inscription of Labyrinth	Chapter EX-05	Inscription of Labyrinth	Inscription of Labyrinth
