a1	Arc 1: The Living and the Rest	Prologue	This is Tomorrow
a1	Arc 1: The Living and the Rest	Chapter 1	In Our Time
a1	Arc 1: The Living and the Rest	Chapter 2	Tender is the Night
a1	Arc 1: The Living and the Rest	Chapter 3	Nouvelles et Textes pour Rien
a1	Arc 1: The Living and the Rest	Chapter 4	El Oro de los Tigres
a1	Arc 1: The Living and the Rest	Chapter 5	The Prisoner in the Cave
a1	Arc 1: The Living and the Rest	Inter Chapter - I	The Star
a1	Arc 1: The Living and the Rest	Chapter 6	E lucevan le stelle
a1	Arc 1: The Living and the Rest	Chapter 7	Vereinsamt
a1	Arc 1: The Living and the Rest	Inter Chapter - II	To the New World
a2	Arc 2: The Journey Back	Chapter 8	Tristes Tropiques
a2	Arc 2: The Journey Back	Chapter 9	Folie et Déraison
a2	Arc 2: The Journey Back	Chapter 10	Paradise Regained
a3	Arc 3: The Roots of the Tale	Chapter 11	A Long Long Way
a3	Arc 3: The Roots of the Tale	Chapter 12	The Campaign's Tale
a3	Arc 3: The Roots of the Tale	Chapter 13	On Another's Sorrow
