s1	Season 1	Chapter 0	Business x Strangeness x Justness	Business x Strangeness x Justness
s1	Season 1	Chapter 1	Cat's Lost & Found	Cat's Lost & Found (A)
s1	Season 1	Chapter 1 Intermission	The Zero Zone	The Zero Zone
s1	Season 1	Chapter 2	A Call From the Hollow's Heart	A Call From the Hollow's Heart (A)
s1	Season 1	Chapter 2 Interlude	Mission Unthinkable	Mission Unthinkable (A)
s1	Season 1	Chapter 3	The Midnight Pursuit	The Midnight Pursuit (A)
s1	Season 1	Chapter 4	Tour de Inferno	Tour de Inferno (A)
s1	Season 1	Chapter 5	A Storm of Falling Stars	A Storm of Falling Stars (A)
s1	Season 1	Epilogue (A)	Bury Your Tears With the Past (A)	Bury Your Tears With the Past (A)
s1	Season 1	Epilogue (B)	Bury Your Tears With the Past (B)	Bury Your Tears With the Past (B)
s2	Season 2	Chapter 1	Where Clouds Embrace the Dawn	Where Clouds Embrace the Dawn
s2	Season 2	Chapter 2	The Impending Crash of Waves	The Impending Crash of Waves
s2	Season 2	Chapter 3	Do Not Go Gentle Into That Good Night	Do Not Go Gentle Into That Good Night
s2	Season 2	Chapter 4	Memories of Dreams Bygone	Memories of Dreams Bygone
s2	Season 2	Chapter 5	On the Precipice of the Abyss	On the Precipice of the Abyss
s2	Season 2	Chapter 6	To Be Fuel for the Night	To Be Fuel for the Night
s2	Season 2	Interlude	Encore for an Old Dream	Encore for an Old Dream
s2	Season 2	Epilogue (A)	New: Eridan Sunset (A)	New: Eridan Sunset (A)
s2	Season 2	Epilogue (B)	New: Eridan Sunset (B)	New: Eridan Sunset (B)
s3	Season 3	Chapter 1	A Sleepwalker's Confession	A Sleepwalker's Confession
s3	Season 3	Chapter 2	The Long Goodbye	The Long Goodbye
